name,url,Affiliation,Also known as,Alternative names,Author,Born,Budget,Cover artist,Developer,Died,Director(s),Distinction,Distinction(s),Distributor(s),Eye colour,Family members,Feather colour,Feathers,Flowers,Followed by,Gender,Genre,Gross box office,Hair colour,Height of average adult,Information,Interior artist,Known affected,Latest version,Leaves,Length of average adult,Loyalty,Ministry of Magic Classification,Mortality,Music by,Narrator,Native to,Number,Occupation,Pages,Platforms,Preceded by,Producer(s),Provoked by,Publisher,Rarity,Rating,Related to,Release date,Release date(s),Released,Run-time,Sentience,Set,Skin colour,Species,Star(s),Status,Stem,Symptoms,Type,Updated,Wingspan of average adult,Writer(s)
Acromantula,https://harrypotter.fandom.com/wiki/Acromantula,,,,,,,,,,,Capable of human speechTaste for human fleshCannibalistic,,,"Black (white, if blind)",,,,,,,,,Jet-Black,,,,,,,Greater than 15 feet  (females were larger),,Beast  XXXXX,Mortal,,,Island of Borneo,,,,,,,,,,,Spider,,,,,,,,,,Extant,,,,,,
Ashwinder,https://harrypotter.fandom.com/wiki/Ashwinder,Fire,,,,,,,,,,Birthed from magical fires,,,Red,,,,,,,,,,,,,,,,,,BeastXXX,Mortal,,,Worldwide,,,,,,,,,,,Snake,,,,,,,Pale-grey,,,Extant,,,,,,
Augurey,https://harrypotter.fandom.com/wiki/Augurey,,,Irish Phoenix,,,,,,,,Cries foretell rainfallFeathers repel ink,,,Blue,,Greenish-black,,,,,,,,,,,,,,,,BeastXX,Mortal,,,Britain and Ireland,,,,,,,,,,,Bird,,,,,,,,,,Extant,,,,,,
Basilisk,https://harrypotter.fandom.com/wiki/Basilisk,Dark Arts,,King of Serpents,,,,,,,,"Deadly gaze, capable of PetrificationVenomous fangs, which are extremely poisonous",,,Yellow,,Scarlet plume on the head (if male),,,,,,,,,,,,,,50 ft.,,Beast  XXXXX,Mortal,,,"Originally Greece, now found worldwide",,,,,,,,,,,SnakeChickenToad,,,,,,,Green,,,Extant,,,,,,
Billywig,https://harrypotter.fandom.com/wiki/Billywig,,,,,,,,,,,Flies very fastWings atop headStinger causes levitation,,,Grey,,,,,,,,,,Half an inch,,,,,,,,BeastXXX,Mortal,,,Australia,,,,,,,,,,,,,,,,,,Bright blue,,,Extant,,,,,,
Blast-Ended Skrewt,https://harrypotter.fandom.com/wiki/Blast-Ended_Skrewt,Rubeus Hagrid,,Bang-Ended Scoots (by Rita Skeeter),,,,,,,,"Resemble pale, slimy, deformed shell-less lobsters or scorpionsCovered in grey, shiny armourMales have stingers, females have suckers to suck bloodAggressive temperament and repulsive appearanceShoot fire from their rear end",,,None,,,,,,,,,,,,,,,,10 ft,,Beast,Mortal,,,Hogwarts Castle,,,,,,,,,,,Fire CrabManticore,,,,,,,Pale,,,"Unknown, possibly extinct",,,,,,
Bowtruckle,https://harrypotter.fandom.com/wiki/Bowtruckle,,,,,,,,,,,Resemble treesTree-dwellingEats insects,,,Brown,,,,,,,,,,,,,,,,,,BeastXX,Mortal,,,Western EnglandSouthern GermanyScandinavia,,,,,,,,,,,,,,,,,,Green,,,Extant,,,,,,
Bundimun,https://harrypotter.fandom.com/wiki/Bundimun,,,,,,,,,,,"Resembles fungusHas many eyesAcidic secretion, capable of rotting building structures",,,Yellow,,,,,,,,,,,,,,,,,,BeastXXX,Mortal,,,Worldwide,,,,,,,,,,,,,,,,,,Green,,,Extant,,,,,,
Catoblepas,https://harrypotter.fandom.com/wiki/Catoblepas,,,,,,,,,,,Long curled hornsSharp tusksResembled cattle,,,,,,,,,,,,Brown,,,,,,,,,Beast,Mortal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centaur,https://harrypotter.fandom.com/wiki/Centaur,,,,,,,,,,,"Lower torso is a horse's bodyHigher torso is a human's bodyCapable of human intelligence and speechSkilled in Astronomy, Healing magic and Divination",,,Varies,,,,,,,,,Varies,Above seven feet,,,,,,,,BeastXXXX,,,,"Europe, includingGreeceGreat BritainCroatia",,,,,,,,,,,HumansHorses,,,,,,,Varies,,,Extant,,,,,,
