name,url,Alternative names,Affiliation,Distinction,Distinction(s),Eye colour,Feather colour,Feathers,Hair colour,Height of average adult,Known affected,Length of average adult,Ministry of Magic Classification,Mortality,Native to,Provoked by,Rarity,Related to,Sentience,Skin colour,Species,Status,Type,Wingspan of average adult
Acromantula,https://harrypotter.fandom.com/wiki/Acromantula,,,Capable of human speechTaste for human fleshCannibalistic,,"Black (white, if blind)",,,Jet-Black,,,Greater than 15 feet  (females were larger),XXXXX,Mortal,Island of Borneo,,,Spider,,,,Extant,,
Ashwinder,https://harrypotter.fandom.com/wiki/Ashwinder,,Fire,Birthed from magical fires,,Red,,,,,,,XXX,Mortal,Worldwide,,,Snake,,Pale-grey,,Extant,,
Augurey,https://harrypotter.fandom.com/wiki/Augurey,Irish Phoenix,,Cries foretell rainfallFeathers repel ink,,Blue,Greenish-black,,,,,,XX,Mortal,Britain and Ireland,,,Bird,,,,Extant,,
Basilisk,https://harrypotter.fandom.com/wiki/Basilisk,King of Serpents,Dark Arts,"Deadly gaze, capable of PetrificationVenomous fangs, which are extremely poisonous",,Yellow,Scarlet plume on the head (if male),,,,,50 ft.,XXXXX,Mortal,"Originally Greece, now found worldwide",,,SnakeChickenToad,,Green,,Extant,,
Billywig,https://harrypotter.fandom.com/wiki/Billywig,,,Flies very fastWings atop headStinger causes levitation,,Grey,,,,Half an inch,,,XXX,Mortal,Australia,,,,,Bright blue,,Extant,,
Blast-Ended Skrewt,https://harrypotter.fandom.com/wiki/Blast-Ended_Skrewt,Bang-Ended Scoots (by Rita Skeeter),Rubeus Hagrid,"Resemble pale, slimy, deformed shell-less lobsters or scorpionsCovered in grey, shiny armourMales have stingers, females have suckers to suck bloodAggressive temperament and repulsive appearanceShoot fire from their rear end",,None,,,,,,10 ft,Beast,Mortal,Hogwarts Castle,,,Fire CrabManticore,,Pale,,"Unknown, possibly extinct",,
Bowtruckle,https://harrypotter.fandom.com/wiki/Bowtruckle,,,Resemble treesTree-dwellingEats insects,,Brown,,,,,,,XX,Mortal,Western EnglandSouthern GermanyScandinavia,,,,,Green,,Extant,,
Bundimun,https://harrypotter.fandom.com/wiki/Bundimun,,,"Resembles fungusHas many eyesAcidic secretion, capable of rotting building structures",,Yellow,,,,,,,XXX,Mortal,Worldwide,,,,,Green,,Extant,,
Catoblepas,https://harrypotter.fandom.com/wiki/Catoblepas,,,Long curled hornsSharp tusksResembled cattle,,,,,Brown,,,,Beast,Mortal,,,,,,,,,,
Centaur,https://harrypotter.fandom.com/wiki/Centaur,,,"Lower torso is a horse's bodyHigher torso is a human's bodyCapable of human intelligence and speechSkilled in Astronomy, Healing magic and Divination",,Varies,,,Varies,Above seven feet,,,XXXX,,"Europe, includingGreeceGreat BritainCroatia",,,HumansHorses,,Varies,,Extant,,
Chimaera,https://harrypotter.fandom.com/wiki/Chimaera,,,Head of a lionBody of a goatTail of a dragonExtremely violent and dangerous,,White,,,Golden,Large,,,XXXXX,Mortal,Greece,,,,,,,Extant (rare),,
Chizpurfle,https://harrypotter.fandom.com/wiki/Chizpurfle,,CrupsAugureysMagic and electricity,Attacks magical and electrical objectsResembles crab,,Black,,,,,,Up to a twentieth of an inch (with fangs),XX,Mortal,Worldwide,,,,,Brown with green pincers,,Extant,,
Chupacabra,https://harrypotter.fandom.com/wiki/Chupacabra,,Dark Arts,Blood consuming,,,,,,,,,Beast,Mortal,North AmericaSouth America,,,,,Blue and red,,Extant,,
Clabbert,https://harrypotter.fandom.com/wiki/Clabbert,,,Resembles cross between frog and monkeyIlluminated pustuleWebbed hands and feetSmall hornsSharp TeethLong legsTree-dwelling,,Yellow,,,,,,,XX,Mortal,Existing worldwide,,,,,Mottled green,,Extant,,
Coruscant cuttlefish,https://harrypotter.fandom.com/wiki/Coruscant_cuttlefish,,,,,,,,,,,,,Mortal,,,,Cuttlefish,,Blue and luminous,,Extant (as of the 2010s),,
Crup,https://harrypotter.fandom.com/wiki/Crup,,Wizardkind,Resembles the Jack Russell terrierForked TailFiercely loyal towards wizardsHostile towards Muggles and SquibsSkilful scavengers,,,,,White and brown,,,,XXX,Mortal,England,,,Dog,,,,Extant,,
Demiguise,https://harrypotter.fandom.com/wiki/Demiguise,,,Could become invisiblePrecognitive sightPeaceful temperamentHerbivorous,,BlackBlue when predicting future,,,Silver,,,,XXXX,Mortal,Far East,,,Hidebehind,,Beige,,Extant,,
Diricawl,https://harrypotter.fandom.com/wiki/Diricawl,Dodo,,Apparated at willFlightless,,,Bluish-pink,,,,,,XX,Mortal,"Mauritius, Indian Ocean",,,Birds,,,,ExtantBelieved extinct by Muggles,,
Double-ended Newt,https://harrypotter.fandom.com/wiki/Double-ended_Newt,,,Two heads,,Yellow,,,,,,,Beast,Mortal,,,,Newt,,Green,,Extant,,
Doxy,https://harrypotter.fandom.com/wiki/Doxy,Biting Fairy,,Two sets of limbsBeetle-like wingsTwo rows of venomous teethCommon household pests,,,,,Black,,,,XXX,Mortal,North AmericaNorthern Europe,,,Fairy (possibly)Pixies (possibly),,PurpleBrown,,Extant,,
Dragon,https://harrypotter.fandom.com/wiki/Dragon,,Romanian Dragon SanctuaryChinese Dragon SanctuarySwedish dragon reservationDragon reserves,,,Varied by breed,,,,Varied by breed,,Varied by breed,XXXXX,Mortal,Worldwide,,,,,Varied by breed,,Extant,,Varied by breed
Antipodean Opaleye,https://harrypotter.fandom.com/wiki/Antipodean_Opaleye,,,Less aggressive than other dragon species,,Multicoloured,,,,,,,XXXXX,Mortal,New Zealand,,,Dragon,,Pearly,,Extant,,
Catalonian Fireball,https://harrypotter.fandom.com/wiki/Catalonian_Fireball,,,,,,,,,,,,XXXXX,Mortal,"Catalonia, Spain",,,Dragon,,,,Unknown,,
Chinese Fireball,https://harrypotter.fandom.com/wiki/Chinese_Fireball,Liondragon,Romanian Dragon SanctuaryChinese Dragon Sanctuary,Shot mushroom-shaped fire from nostrilsCarnivorousGenerally tolerant towards other dragonsFast and intelligent,,Yellow,,,,,,25ft,XXXXX,Mortal,China,,,Dragon,,Scarlet,,Extant,,
Common Welsh Green,https://harrypotter.fandom.com/wiki/Common_Welsh_Green,Welsh Green,Romanian Dragon Sanctuary,,,,,,,,,18ft,XXXXX,Mortal,Wales,,,Dragon,,Green,,Extant,,
Hebridean Black,https://harrypotter.fandom.com/wiki/Hebridean_Black,,MacFusty clanBanchory Bangers,,,Brilliant purple,,,,,,30ft,XXXXX,Mortal,"Hebrides Islands, Scotland",,,Dragon,,Dark,,Extant,,
Hungarian Horntail,https://harrypotter.fandom.com/wiki/Hungarian_Horntail,,Romanian Dragon Sanctuary,Extremely dangerous,,Yellow,,,,,,,XXXXX,Mortal,Hungary,,,Dragon,,Black,,Extant,,
Norwegian Ridgeback,https://harrypotter.fandom.com/wiki/Norwegian_Ridgeback,,Romanian Dragon Sanctuary,,,,,,,,,,XXXXX,Mortal,Norway,,,Dragon,,Black,,Extant,,
Peruvian Vipertooth,https://harrypotter.fandom.com/wiki/Peruvian_Vipertooth,,,,,,,,,,,15 ft,XXXXX,Mortal,Peru,,,Dragon,,Copper,,Extant,,
Portuguese Long-Snout,https://harrypotter.fandom.com/wiki/Portuguese_Long-Snout,,,Long snout,,Black,,,,,,20ft,XXXXX,Mortal,"Gerês, Portugal",,,Dragon,,Light green,,Unknown,,
Romanian Longhorn,https://harrypotter.fandom.com/wiki/Romanian_Longhorn,,,Two golden horns,,,,,,,,40ft,XXXXX,Mortal,Romania,,,Dragon,,Dark green,,Endangered,,
Swedish Short-Snout,https://harrypotter.fandom.com/wiki/Swedish_Short-Snout,,Romanian Dragon Sanctuary,Breathed blue flame from its nostrils,,,,,,,,22ft,XXXXX,Mortal,Sweden,,,Dragon,,Silvery blue,,Extant,,
Ukrainian Ironbelly,https://harrypotter.fandom.com/wiki/Ukrainian_Ironbelly,,,,,Deep red,,,,,,,XXXXX,Mortal,Ukraine,,,Dragon,,Metallic grey-silver,,Extant,,
Water dragon,https://harrypotter.fandom.com/wiki/Water_dragon,,,Inhabit bodies of waterUsually carry specific parasites,,,,,,,,,Beast,Mortal,Paris sewers (possibly),,,Dragon,,,,Extant,,
Dragon Shark,https://harrypotter.fandom.com/wiki/Dragon_Shark,,,,,,,,,,,,Beast,Mortal,Deep oceans,,,,,,,,,
Drake (creature),https://harrypotter.fandom.com/wiki/Drake_(creature),,,Large reptile,,,,,,,,,Beast,Mortal,,,,Dragon (possibly)Lizard (possibly),,Green,,,,
Dugbog,https://harrypotter.fandom.com/wiki/Dugbog,,,Resembled dead woodFinned pawsSharp teethOmnivorous,,Light green,,,,,,,XXX,Mortal,North AmericaSouth AmericaEurope,,,,,Dark green,,Extant,,
Erkling,https://harrypotter.fandom.com/wiki/Erkling,,,Feed upon human childrenShoot dartsHigh pitch cackles to lure children,,Yellow,,,,3 feet,,,XXXX,Mortal,"Black Forest and Bavaria, Germany",,,House-elves (possibly),,Brown,,"Extant, but heavily controlled",,
Erumpent,https://harrypotter.fandom.com/wiki/Erumpent,,,Explosive horn,,,,,,Medium sized (females could reach five times the size of a non-magical hippopotamus),,,XXXX,Mortal,Africa,,,,,Black,,Extant in small numbers,,
Fairy,https://harrypotter.fandom.com/wiki/Fairy,,,Very small diminutive humanoid with insect-like wingsPossessed weak magicVain natures,,Varies,,,Varies,1-5 inches,,,XX,Mortal,Existing worldwideTír na nÓg (possibly),,,PixieDoxy,,Varies,,Extant,,
Fire crab,https://harrypotter.fandom.com/wiki/Fire_crab,,Fire,Jewelled shell which is extremely valuableShoots flames from rear end,,Black,,,,,,,XXX,Mortal,Fiji,,,Blast-Ended Skrewt,,Grey,,Endangered,,
Giant Fire Crab,https://harrypotter.fandom.com/wiki/Giant_Fire_Crab,,,Larger than the average fire crab,,Red,,,,,,,XXX,Mortal,"Fijian rainforest, Fiji, Oceania",,,Fire Crab,,Grey,,Endangered,,
Firedrake,https://harrypotter.fandom.com/wiki/Firedrake,,Fire,Capable of flightShoots sparks of fire from tail,,,,,,,,,Beast,Mortal,,,,Lizard,,Yellow/Black,,Extant,,
Flobberworm,https://harrypotter.fandom.com/wiki/Flobberworm,,,HerbivorousMouths on both sidesToothlessProduces mucus,,,,,,,,Ten inches,X,Mortal,,,,,,BrownRedBlue,,Extant,,
Flying Seahorses,https://harrypotter.fandom.com/wiki/Flying_Seahorse,,,"Winged, capable of flightUsed as potion ingredients",,Black,,,,,,,,Mortal,Scotland,,,Seahorse,,Tan or red in colour,,Extant,,
Forest Raco,https://harrypotter.fandom.com/wiki/Forest_Raco,,,,,,,,,,,,Beast,Mortal,,,,,,,,,,
Fwooper,https://harrypotter.fandom.com/wiki/Fwooper,,,Song causes insanity,,Yellow,Brightly colouredOrangePinkLime greenYellow,,,,,,XXX,Mortal,Africa,,,,,,,Extant,,
Ghoul,https://harrypotter.fandom.com/wiki/Ghoul,,,SlimyBuck-toothedUglyHumanoidGenerally harmlessResembles Ogres,,Green,,,,,,,XX,Mortal,,,,HidebehindChameleon Ghoul,,Greyish green,,Extant,,
Chameleon Ghoul,https://harrypotter.fandom.com/wiki/Chameleon_Ghoul,,Dark Arts,Could disguise itself as an everyday object to avoid detectionAggressive,,Green,,,,,,,XX,Mortal,,,,Ghoul,,Greyish-green,,Extant,,
Giant Dung Beetle,https://harrypotter.fandom.com/wiki/Dung_beetle,,Ancient Egyptians,Consume faeces,,,,,,,,,,Mortal,Egypt,,,Scarab beetle,,,,Extant,,
Giant hairy slug elk,https://harrypotter.fandom.com/wiki/Giant_hairy_slug_elk,,,,,,,,,,,,Beast,Mortal,,,,,,,,,,
Giant Purple Toad,https://harrypotter.fandom.com/wiki/Giant_Purple_Toad,Bullfrog,,"Thick, warted skinGreen tongueLarge in size",,BlackYellowOrange,,,,,,,Beast,Mortal,,,,Toad,,Purple,,Extant,,
Giant Squid,https://harrypotter.fandom.com/wiki/Giant_Squid,,Black LakeMagical Creatures Reserve,Enormous with lots of tentacles,,Yellow,,,,,,,Beast,Mortal,"Great Lake, Scotland",,,,,Blood red or purple,,Extant,,
Gigantic jellyfish,https://harrypotter.fandom.com/wiki/Gigantic_jellyfish,,Great Lake,,,,,,,,,,Beast[citation needed],Mortal,Scotland,,,Jellyfish,,Blue and purple,,Extant (most likely),,
Glow Bug,https://harrypotter.fandom.com/wiki/Glow_Bug,,,Luminescent,,"White, glowing",,,,,,,Beast,Mortal,,,,Worm,,Translucent/Luminescent,,Extant,,
Glumbumble,https://harrypotter.fandom.com/wiki/Glumbumble,,,Produces a treacleInfests beehives,,Black,,,Black,,,,XXX,Mortal,Northern Europe,,,,,Grey,,Extant,,
Gnome,https://harrypotter.fandom.com/wiki/Gnome,Garden gnomeGnomeGernumblies (plural),,Potato-like headsSharp biting teethHarmless natureTended to infest gardensFeasted on vegetation and wormsQuick breeders,,,,,,1 ft. (max.),,,XX,Mortal,EuropeNorth America,,,,,Brown,,Extant,,
Goblin Jellies,https://harrypotter.fandom.com/wiki/Goblin_Jellies,,,,,,,,,,,,Beast,Mortal,Deep oceans,,,,,,,,,
Goblin Vampire squid,https://harrypotter.fandom.com/wiki/Goblin_Vampire_squid,,,,,,,,,,,,Beast,Mortal,Deep oceans,,,,,,,,,
Golden Snidget,https://harrypotter.fandom.com/wiki/Golden_Snidget,Snidget,Quidditch (formerly),360° rotation wingsOriginally used in Quidditch,,Red,Golden,,,Smaller than 1',,,XXXX,Mortal,Northern Europe,,,Birds,,,,Endangered,,
Graphorn,https://harrypotter.fandom.com/wiki/Graphorn,,Trolls,Two gold hornsHumped backFour toes on each footRepels most spellsAggressive and dangerous nature,,,,,,,,,XXXX,Mortal,Mountains of Europe,,,,,Greyish-purple,,Endangered (1920s)Extant (2020s),,
Griffin,https://harrypotter.fandom.com/wiki/Griffin,,,Front half of a giant eagleRear half of a lionCapable of Flight,,Yellow,White and brown,,Brownish-yellow,,,,XXXX,,Greece,,,Hippogriff,,,,Extant,,
